Key	Ýngilizce	Türkçe
$MINUTE	MINUTE	 DAKÝKA
$MinuteAbbreviation	Min	 Min.
$MINUTES	MINUTES	 DAKÝKA
$Misc	MISC	 ÇEÞÝTLÝ
$Missing Requirements	Missing Requirements	 Eksik Gereksinimler
$MISSION	MISSION	 MÝSYON
$MISSION COMPLETE	MISSION COMPLETE	 GÖREV TAMAMLANDI
$Mission Data	MISSION DATA	 GÖREV VERÝLERÝ
$MISSION FAILED	MISSION FAILED	 GÖREV BAÞARISIZ
$Mission Info	MISSION INFO	 GÖREV BÝLGÝSÝ
$Mission name	MISSION NAME	 MÝSYON ADI
$MISSION REWARDS	MISSION REWARDS	 GÖREV ÖDÜLLERÝ
$MISSION STATUS	MISSION STATUS	 GÖREV DURUMU
$MISSION UPDATED	MISSION UPDATED	 GÖREV GÜNCELLENDÝ
$MissionAdded	ADDED TO MISSION MENU	 GÖREV MENÜSÜNE EKLENDÝ
$MissionComplete	MISSION COMPLETE	 GÖREV TAMAMLANDI
$MissionFailed	MISSION FAILED	 GÖREV BAÞARISIZ
$MissionMenu	MISSION MENU	 GÖREV MENÜSÜ
$MissionMenu_ShowOnMap	Show On Map	 Haritada Göster
$MissionNew	NEW MISSION	 YENÝ MÝSYON
$MISSIONS	MISSIONS	 GÖREVLER
$MissionUpdate	MISSION UPDATED	 GÖREV GÜNCELLENDÝ
$MOBILITY	MOBILITY	 HAREKETLÝLÝK
$MOD SLOTS	MOD SLOTS	 MOD YUVALARI
$ModCurrentlyInstalled	Already installed	 Zaten yüklenmiþ
$ModHasNoRequirements	This mod requires no components to install.	 Bu modun yüklenmesi için hiçbir bileþen gerekmez.
$MODIFIER	MODIFIER	 DEÐÝÞTÝRÝCÝ
$MODIFY	MODIFY	 DEÐÝÞTÝR
$MODIFY BODY SHAPE	MODIFY BODY SHAPE	 VÜCUT ÞEKLÝNÝ DEÐÝÞTÝRÝN
$MODIFY MODE	MODIFY MODE	 MODU DEÐÝÞTÝR
$MODS	MODS	 MODLAR
$MODS_LRG	MODS	 MODLAR
$Mods	Mods	 Modlar
$MODS LOADED	MODS LOADED	MODLAR YÜKLENDÝ
$ModSpace:	Total:	 Toplam:
$Mod_AccountSettings	OPTIONS	 SEÇENEKLER
$Mod_Details	DETAILS	 DETAYLAR
$Mod_LibraryDelete	DELETE	 SÝLMEK
$Mod_LibraryDisable	DISABLE	 DEVRE DIÞI BIRAKMAK
$Mod_LibraryEnable	ENABLE	 OLANAK VERMEK
$Mod_MyLibrary	LOAD ORDER	 YÜKLEME SÝPARÝÞÝ
$Mod_Reorder	REORDER	 YENÝDEN SÝPARÝÞ VER
$Mod_Search	SEARCH	 ARAMAK
$MonitorSelect	Select Monitor	 Monitörü Seçin
$MonitorSelectDesc	Sets the monitor used in full screen borderless mode.	 Tam ekran kenarlýksýz modda kullanýlan monitörü ayarlar.
$Monocle	Hand Scanner	 El Tarayýcý
$Moon	MOON	 AY
$MOON OF VECTERA	MOON OF VECTERA	 VEKTERA'NIN AYI
$MOONS	MOONS	 AYLAR
$More...	More...	 Daha fazla...
$MostFavorited	Most Favorited	 En Beðenilenler
$MostPopularAllTime	Most Popular - All Time	 En Popüler - Tüm Zamanlar
$MostPopularThisMonth	Most Popular - This Month	 En Popüler - Bu Ay
$MostPopularThisWeek	Most Popular - This Week	 En Popüler - Bu Hafta
$MostPopularToday	Most Popular - Today	 En Popüler - Bugün
$Mouse Look Sensitivity	Mouse Look Sensitivity	 Fare Görünümü Hassasiyeti
$Mouse Look Sensitivity Desc	Controls the sensitivity of the looking controls via the mouse.	 Görünüm kontrollerinin hassasiyetini fare aracýlýðýyla kontrol eder.
$Mouse Move	Mouse Move	 Fare Hareketi
$Move	Move	 Taþýnmak
$MOVE	MOVE	 TAÞINMAK
$MoveMarker	Move Marker	 Ýþaretçiyi Taþý
$MoveMarkerQuestion	Move your current marker or remove it?	 Mevcut iþaretçiniz taþýnsýn mý yoksa kaldýrýlsýn mý?
$MultiActivate_A_QCAButton	Take Item	 Öðeyi Al
$MultiActivate_B_QCBButton	Perk Action 2	 Avantaj Eylemi 2
$MultiActivate_X_QCXButton	Open Transfer Menu	 Transfer Menüsünü Aç
$MultiActivate_Y_QCYButton	Perk Action 1	 Avantaj Eylemi 1
$MUSCULAR	MUSCULAR	 KAS
$Music	Music	 Müzik
$Music Audio Desc	Controls the volume of the background music.	 Arka plan müziðinin ses düzeyini kontrol eder.
$My Creations	My Creations	 Kreasyonlarým
$My Favorites	My Favorites	 Favorilerim
$My Home Ship	Home Ship	 Ana Sayfa Gemi
$My Library	My Library	 Benim kutuphanem
$My Perks	MY PERKS	 AVANTAJLARIM
$MY SHIP	MY SHIP	 GEMÝM
$MY SHIPS	MY SHIPS ({0}/{1})	 GEMÝLERÝM ({0}/{1})
$NAME	NAME	 ÝSÝM
$Name:	Name:	 Ýsim:
$NAME_CHARACTER	NAME CHARACTER	 ADI KARAKTER
$NavigateObjectives	NAVIGATE OBJECTIVES	 HEDEFLERE GÝRÝÞ YAPIN
$Near Plane	Near Plane	 Uçaða Yakýn
$Near Start	Near Start	 Baþlangýca Yakýn
$Need Updates	Updates Available	 Güncellemeler mevcut
$NEEDED PWR	NEEDED PWR	GEREKLÝ GÜÇ
$Neutral	Neutral	 Doðal
$NEW	NEW	 YENÝ
$NEW DATA	NEW DATA	 YENÝ VERÝ
$New Game Difficulty	New Game Difficulty	 Yeni Oyun Zorluðu
$NEW ORGANIC DISCOVERED	NEW ORGANIC DISCOVERED	 YENÝ ORGANÝK KEÞFEDÝLDÝ
$New Perks	ALL PERKS	 TÜM AVANTAJLAR
$NewsOptInMessage	Send me news about Bethesda!	 Bana Bethesda ile ilgili haberleri gönder!
$NEW_LINK:	NEW LINK:	 YENÝ BAÐLANTI:
$NEXT	NEXT	 SONRAKÝ
$NEXT HAIL	NEXT HAIL	 SONRAKÝ SEVGÝ
$NEXT PERK	NEXT RANK	 SONRAKÝ SIRALAMA
$NEXTCATEGORY	NEXT CATEGORY	 SONRAKÝ KATEGORÝ
$NEXTVARIANT	NEXT VARIANT	 SONRAKÝ VARYANT
$NEXT_KEY	NEXT KEY	 SONRAKÝ ANAHTAR
$No	No	 HAYIR
$NO	NO	 HAYIR
$No content found.	No content found.	 Ýçerik bulunamadý.
$NO CONTRABAND	NO CONTRABAND ON SHIP	 GEMÝDE KAÇAK MALZEME YOK
$No docking	No docking	 Yerleþtirme yok
$NO ITEMS	NO ITEMS	 ÜRÜN YOK
$NO SYSTEM SELECTED	NO SYSTEM SELECTED	 HÝÇBÝR SÝSTEM SEÇÝLMEDÝ
$NoDeviceSelected	You have not selected a storage device.  You will need to select one before you can save.  Until then, Autosave is disabled.	 Bir depolama cihazý seçmediniz. Kaydetmeden önce birini seçmeniz gerekecek. O zamana kadar Otomatik kaydetme devre dýþý býrakýlýr.
$NoGravDrivePower	No Grav Drive Power	 Yerçekimi Tahrik Gücü Yok
$NoGravityToJump	Add power to the Grav Drive before jumping.	 Atlamadan önce Grav Drive'a güç ekleyin.
$NoJumpDuringScene	Cannot jump when being hailed.	 Seslenildiðinde atlanamaz.
$Nominal	Nominal	 Nominal
$NoModSelected	No mod selected	 Mod seçilmedi
$NON-BINARY	NON-BINARY	 ÝKÝLÝ OLMAYAN
$NONE	NONE	 HÝÇBÝRÝ
$None	None	 Hiçbiri
$NoProfileSelected	You have not signed into a profile. You will need to sign into a profile in order to save progress. Do you want to sign in now?	 Bir profile giriþ yapmadýnýz. Ýlerlemeyi kaydetmek için bir profilde oturum açmanýz gerekecektir. Þimdi oturum açmak istiyor musunuz?
$Normal	Normal	 Normal
$NOSHIPSAVAILABLE	NO SHIPS AVAILABLE	 GEMÝ MEVCUT DEÐÝL
$NOT INSTALLED	NOT INSTALLED	 YÜKLÜ DEÐÝL
$NotEnoughFuelToJump	You don't have enough fuel to execute your route.	 Rotanýzý gerçekleþtirmek için yeterli yakýtýnýz yok.
$NO_ITEM_EQUIPPED	NO WEAPON EQUIPPED	 SÝLAH DONANIMLI DEÐÝL
$O2	O2	 O2
$O2 RATING	O2 RATING	 O2 DEÐERLENDÝRMESÝ
$Object Fade	Object Fade	 Nesne Solmasý
$Object Fade Desc	Controls the distance at which world objects fade in.	Dünya nesnelerinin yavaþ yavaþ kaybolduðu mesafeyi kontrol eder.
$OFF	OFF	 KAPALI
$OK	OK	 TAMAM
$ON	ON	 AÇIK
$OPEN	OPEN	 AÇIK
$Open	OPEN	 AÇIK
$OPEN_BUILDER	Ship Builder	 Gemi Ýnþaatçýsý
$OPEN_PLANET_MAP	OPEN PLANET MAP	 GEZEGEN HARÝTASINI AÇ
$Operating Cost:	Operating Cost:	 Ýþletme maliyeti:
$OPTION1	1	 1
$OPTION2	2	 2
$OPTIONS	OPTIONS	 SEÇENEKLER
$OR	OR	 VEYA
$Orbit	Orbit	 Yörünge
$Orbital	Orbital	 Orbital
$OTHER	OTHER	 DÝÐER
$OUTBOUND TRANSMISSION	OUTBOUND TRANSMISSION	 GÝDEN ÝLETÝM
$OUTGOING RESOURCES	OUTGOING RESOURCES	 GÝDEN KAYNAKLAR
$Outpost	Outpost	 Karakol
$OUTPOST	OUTPOST	 ileri karakol
$OUTPOST CARGO LINK	OUTPOST CARGO LINK	 KARGO KARGO BAÐLANTISI
$OUTPOST DEPLOYED:	OUTPOST DEPLOYED:	 KARAYOL AÇILDI:
$Outpost FlyCam Distance Speed	Outpost FlyCam Distance Speed	 Karakol FlyCam Mesafe Hýzý
$Outpost FlyCam Distance Speed Desc	Outpost FlyCam speed for zooming.	 Yakýnlaþtýrma için Karakol FlyCam hýzý.
$Outpost FlyCam Rotation Speed	Outpost FlyCam Rotation Speed	 Karakol FlyCam Dönüþ Hýzý
$Outpost FlyCam Rotation Speed Desc	Outpost FlyCam speed for rotating.	 Karakol FlyCam'in dönme hýzý.
$Outpost FlyCam Starting Distance	Outpost FlyCam Starting Distance	 Karakol FlyCam Baþlangýç Mesafesi
$Outpost FlyCam Starting Distance Desc	Default starting distance for Outpost FlyCam.	 Outpost FlyCam için varsayýlan baþlangýç mesafesi.
$Outpost FlyCam Starting Pitch	Outpost FlyCam Starting Pitch	 Karakol FlyCam Baþlangýç Sahasý
$Outpost FlyCam Starting Pitch Desc	Default starting pitch for Outpost FlyCam (degrees).	 Outpost FlyCam için varsayýlan baþlangýç adýmý (derece).
$Outpost FlyCam Translation Speed	Outpost FlyCam Translation Speed	 Karakol FlyCam Çeviri Hýzý
$Outpost FlyCam Translation Speed Desc	Outpost FlyCam speed for panning.	 Kaydýrma için Karakol FlyCam hýzý.
$Outpost Item Rotation Speed	Outpost Item Rotation Speed	 Karakol Eþyasý Dönüþ Hýzý
$Outpost Item Rotation Speed Desc	Item rotation speed when building/placing items.	 Öðeleri oluþtururken/yerleþtirirken öðe dönüþ hýzý.
$OutpostName	{1} Outpost {2}	 {1} Karakol {2}
$OutpostQuickMenu	Hold to Open Quick Menu	 Hýzlý Menüyü Açmak için Basýlý Tutun
$OUTPOSTS	OUTPOSTS	 KARAYOLLAR
$OutpostTargetMenu_ChangeLink	Do you want to change outpost link?	 Karakol baðlantýsýný deðiþtirmek istiyor musunuz?
$OutpostTargetMenu_CreateLink	Are you sure you want to link these?	 Bunlarý baðlamak istediðinizden emin misiniz?
$OutpostTargetMenu_RemoveLink	Do you want to remove link?	Baðlantýyý kaldýrmak istiyor musunuz?
$Outpost_AvailableOutposts	Available Outposts	 Mevcut Karakollar
$Outpost_AvailableTargets	Available Targets	 Mevcut Hedefler
$Outpost_ConfirmBreakLinks	Confirm breaking invalid connections?	 Geçersiz baðlantýlarýn kesilmesini onaylýyor musunuz?
$Outpost_Rename	Enter outpost name	 Karakol adýný girin
$Outpost_WarnBreakLinks	Some connections will become invalid by changing to this item.	 Bu öðeye geçildiðinde bazý baðlantýlar geçersiz hale gelecektir.
$OutputLink	Output Link	 Çýkýþ Baðlantýsý
$OVERALL	Overall	 Etraflý
$OVERFLOW	Overflow	 Taþma
$Overlays	Overlays	 Kaplamalar
$Overwrite?	Overwrite?	 Üzerine yazýlsýn mý?
$OWNED	OWNED	 SAHÝP OLDUÐUMUZ
$OWNED [NEEDS GAME RESET]	OWNED [READY TO ENABLE]	 SAHÝP OLDUÐUMUZ [ETKÝNLEÞTÝRMEYE HAZIR]
$OWNED [NOT DOWNLOADED]	OWNED [NOT DOWNLOADED]	 SAHÝP OLDUÐUMUZ [ÝNDÝRÝLMEMÝÞTÝR]
$PACK	PACK	 AMBALAJ
$PAN	PAN	 TAVA
$PAN DISTANCE	PAN DISTANCE	 PAN MESAFESÝ
$PART	PART	 PARÇA
$PartiallyExplored	Partially Explored	 Kýsmen Keþfedildi
$Password	Password	 Þifre
$Pause	Pause	 Duraklat
$PC	 PC	 bilgisayar
$PENETRATION	PENETRATION	 PENETRASYON
$PEOPLE	PEOPLE	 ÝNSANLAR
$PERCEPTION	PERCEPTION	 ALGI
$Performance mode	Performance Mode	 Performans modu
$Performance mode Desc	When enabled, reduces the resolution ratio to 50% and enables dynamic resolution.	 Etkinleþtirildiðinde çözünürlük oranýný %50'ye düþürür ve dinamik çözünürlüðü etkinleþtirir.
$PerksLowReqs	Requirements not met.	 Þartlar saðlanmadý.
$Perk_NextRankAvailable	NEXT RANK AVAILABLE!	 SONRAKÝ SIRA MEVCUT!
$PERSONNEL RECORD	PERSONNEL RECORD	 PERSONEL KAYDI
$PERSUASION	PERSUASION	 ÝKNA
$Persuasion_AutoWin	AUTO-PERSUADE	 OTOMATÝK ÝKNA
$PharmaceuticalLab	Pharmaceutical Lab	 Ýlaç Laboratuvarý
$PHOTO GALLERY	PHOTO GALLERY	 FOTOÐRAF GALERÝSÝ
$PhotoMode	PHOTO MODE	 FOTOÐRAF MODU
$PHOTOMODE	PHOTO MODE	 FOTOÐRAF MODU
$PhotoMode_Cancel	Exit	 çýkýþ
$PhotoMode_Down	Down	 Aþaðý
$PhotoMode_HeadTrack	Toggle Headtracking	 Headtracking'i aç / kapat
$PhotoMode_Left	Left	 Sol
$PhotoMode_LShoulder	Previous Category	 Önceki Kategori
$PhotoMode_MoveDown	Move Camera Down	 Kamerayý aþaðý indir
$PhotoMode_MoveUp	Move Camera Up	 Kamerayý Yukarý Taþý
$PhotoMode_NextMode	Next Mode	 Sonraki Mod
$PhotoMode_Reset	Reset Settings	 Ayarlarý Sýfýrla
$PhotoMode_Right	Right	 Sað
$PhotoMode_RShoulder	Next Category	 Sonraki Kategori
$PhotoMode_Snapshot	Snapshot	 Enstantane fotoðraf
$PhotoMode_ToggleHelmet	Toggle Helmet	 Kaský Deðiþtir
$PhotoMode_ToggleUI	Toggle UI	 Kullanýcý arayüzünü deðiþtir
$PhotoMode_Up	Up	Yukarý
$PHY	PHYS	 FÝZÝK
$Physical	Physical	 Fiziksel
$PHYSICAL	PHYSICAL	FÝZÝKSEL
$PHYSICAL_SKILLS	PHYSICAL	FÝZÝKSEL
$PHYSICAL_SKILLS_ADVANCED	Advanced Physical skills	 Geliþmiþ Fiziksel beceriler
$PHYSICAL_SKILLS_EXPERT	Expert Physical skills	 Uzman Fiziksel beceriler
$PHYSICAL_SKILLS_MASTER	Master Physical skills	 Usta Fiziksel beceriler
$Pickpocket	Pickpocket	 Yankesici
$PICKPOCKET_EMPTYITEMMESSAGE	NO ITEMS TO STEAL	 ÇALINACAK ÜRÜN YOK
$PIPBOY	PIP-BOY	 PIP-BOY
$Pipboy	Pip-Boy	 Pip-Boy
$PipboyColorB	Pip-Boy Color B	 Pip-Boy Renk B
$PipboyColorG	Pip-Boy Color G	 Pip-Boy Renk G
$PipboyColorR	Pip-Boy Color R	 Pip-Boy Renkli R
$PipboyConditionCategory	STATUS	 DURUM
$PipboyPerksCategory	PERKS	 AVANTAJLAR
$PipboySPECIALCategory	SPECIAL	 ÖZEL
$PLACE	PLACE	 YER
$Place	Place	 Yer
$PlaceMarker	Place Marker	 Yer Ýþareti
$PLACEMARKER	PLACE MARKER	 YER ÝÞARETÝ
$PLACE_BEACON	PLACE BEACON	 YER ÝÞARETÝ
$PLANET	PLANET	 GEZEGEN
$Planet	PLANET	 GEZEGEN
$PlanetNotLandable	This location cannot be landed on.	 Bu konuma inilemiyor.
$PLANETS	PLANETS	 GEZEGENLER
$PLANETS WITH LIFE	PLANETS WITH LIFE	 HAYAT ÝÇEREN GEZEGENLER
$PLAY	PLAY	 OYNAMAK
$Player	Player	 oyuncu
$PLAYER SHIP	PLAYER SHIP	 OYUNCU GEMÝSÝ
$Player Voice	Player Voice	 Oyuncu Sesi
$PlayerSetMarkerName	Custom Destination	 Özel Hedef
$PlayerSetMarkerReplaceRemove	Replace or Remove Custom Destination?	 Özel Hedef Deðiþtirilsin mi Kaldýrýlsýn mý?
$PLOT	ADD DESTINATION	 HEDEF EKLE
$PLOT AND TRANSFER	TRANSFER FROM OUTPOST	 KARAYOLDAN TRANSFER
$PLOT COURSE	SET COURSE	 ROTA AYARLA
$PLOT HOLD ADD	HOLD TO ADD ORBIT	 YÖRÜNGE EKLEMEK ÝÇÝN BASILI TUTUN
$PLOT HOLD REMOVE	HOLD TO REMOVE ORBIT	 YÖRÜNGEYÝ KALDIRMAK ÝÇÝN BASILI TUTUN
$PLOT LANDINGMARKER	SET LANDING TARGET	 ÝNÝÞ HEDEFÝNÝ BELÝRLEYÝN
$PLOT ORBIT	ADD ORBIT	 YÖRÜNGE EKLE
$PLOT TRANSFER HOLD	HOLD TO PLOT AND TRANSFER	 ARSA VE DEVÝR ÝÇÝN TUTUN
$POCKS	POCKMARKS	 POCK ÝÞARETÝ
$POINT AVAILABLE	POINT AVAILABLE	 NOKTA MEVCUT
$POINTS AVAILABLE	POINTS AVAILABLE	 MEVCUT NOKTALAR
$Pose	Pose	 Poz
$Pose Category	Pose Category	 Poz Kategorisi
$POSITION	POSITION	 KONUM
$Power	Power	 Güç
$POWER	POWER	 GÜÇ
$POWER NAMES	TOGGLE POWER NAMES	 GÜÇ ADLARINI DEÐÝÞTÝR
$Power up GRav Drive	POWER UP GRAV DRIVE	 GRAV SÜRÜCÜNÜ GÜÇLENDÝRÝN
$Power:	Power:	 Güç:
$PowerArmorMarkerName	Power Armor	 Güç Zýrhý
$PowerLink	Power Link	 Güç Baðlantýsý
$POWERS	POWERS	 GÜÇLER
$POWERS_ACTIVATEESSENCE	USE QUANTUM ESSENCE	 KUANTUM ÖZÜ KULLANIN
$Powers_EssenceTooltip	Quantum Essences grant invulnerability but wipe all Normal Skill Challenge Progress	Kuantum Özleri hasar almazlýk saðlar ancak tüm Normal Beceri Mücadelesi Ýlerlemesini siler
$POWERS_HOVER	(ACTIVE)	 (AKTÝF)
$POWERS_UNDISCOVERED	{0} UNDISCOVERED TEMPLES	 {0} KEÞFEDÝLMEMÝÞ TAPINAK
$PrecogResponse_Empty	(Future unclear...)	 (Geleceði belirsiz...)
$PREPARE	PREPARE	 HAZIRLANMAK
$Present	Present	 Sunmak
$PRESENTS	PRESENTS	 HEDÝYELER
$PRESETS	PRESETS	 ÖN AYARLAR
$Press any button to start	Press any button to start	 Baþlamak için herhangi bir düðmeye basýn
$PREV	PREV	 ÖNCEKÝ
$PREV PERK	PREV RANK	 ÖNCEKÝ SIRALAMA
$PREVCATEGORY	PREVIOUS CATEGORY	 ÖNCEKÝ KATEGORÝ
$PREVIOUS_KEY	PREVIOUS KEY	 ÖNCEKÝ ANAHTAR
$PREVVARIANT	PREVIOUS VARIANT	 ÖNCEKÝ VARYANT
$PrimaryAttack	Attack	 Saldýrý
$PRODUCES	PRODUCES	 ÜRETÝR
$Produces:	Produces:	 Üretir:
$PRODUCES:	PRODUCES:	 ÜRETÝR:
$PRODUCTION	PRODUCTION	 ÜRETME
$Progress	Progress	 Ýlerlemek
$ProjectName	Project Name	 proje Adý
$PRONOUN	PRONOUN	 ZAMÝR
$PURCHASE SHIP	Purchase	 Satýn almak
$PURCHASE SHIP CANNOT PILOT PROMPT	Your Piloting Skill is too low for this ship class. Purchase Ship for {1} Credits?	 Pilotluk Beceriniz bu gemi sýnýfý için çok düþük. {1} Kredi karþýlýðýnda Gemi satýn alýnsýn mý?
$PURCHASE SHIP PROMPT	Purchase Ship for {1} Credits?	 {1} Kredi karþýlýðýnda Gemi satýn alýnsýn mý?
$QUANTITY	QUANTITY	 MÝKTAR
$Quantity:	Quantity:	 Miktar:
$QuantityWarning_BadTransaction	WARNING: YOU WILL GET LESS THAN THE ITEM WAS WORTH	 UYARI: ÜRÜNÜN DEÐERÝNDEN DAHA AZINI ALACAKSINIZ
$Quantity_BarterBuy	SELECT AMOUNT TO BUY	 SATIN ALINACAK MÝKTARI SEÇÝN
$Quantity_BarterSell	SELECT AMOUNT TO SELL	 SATILACAK MÝKTARI SEÇÝN
$Quantity_ContainerTransfer	SELECT AMOUNT	 MÝKTAR SEÇÝN
$Quantity_InventoryDrop	SELECT AMOUNT TO DROP	 DÜÞECEK MÝKTARI SEÇÝN
$QUEST	MISSION	 MÝSYON
$Quest	Mission	 Misyon
$QUESTS	MISSIONS	 GÖREVLER
$Queued...	Queued...	 Sýraya alýndý...
$Quick Inventory	Quick Inventory	 Hýzlý Envanter
$Quick Magic	Quick Magic	 Hýzlý Büyü
$Quick Map	Quick Map	 Hýzlý Harita
$Quick Stats	Quick Stats	 Hýzlý Ýstatistikler
$QuickContainer	QUICK CONTAINER	 HIZLI KONTEYNER
$QuickContainerTransfer	TRANSFER	 AKTAR
$QuickContainer_Down	Down	 Aþaðý
$QuickContainer_Left	Left	 Sol
$QuickContainer_Right	Right	 Sað
$QuickContainer_Up	Up	Yukarý
$QuickData	Quick Data	 Hýzlý Veri
$QuickHeal	Quick Heal	 Çabuk iyileþme
$QuickInventory	Quick Inventory	 Hýzlý Envanter
$Quickkeys	Favorites	 Favoriler
$Quickload	Quickload	 Hýzlý yükleme
$QuickMap	Quick Map	 Hýzlý Harita
$QuickMission	Quick Mission	 Hýzlý Görev
$QuickRadio	Quick Radio	 Hýzlý Radyo
$QUICKSAVE	QUICKSAVE	 HIZLI KAYDET
$Quicksave	Quicksave	Hýzlý kaydet
$Quicksaving...	Quicksaving...	 Hýzlý kaydetme...
$QuicksavingMsg	Quicksaving...	 Hýzlý kaydetme...
$QuickShip	Quick Ship	 Hýzlý Gemi
$QuickStats	Quick Stats	 Hýzlý Ýstatistikler
$Quit	Quit	 Çýkýþ yapmak
$QUIT	QUIT	 ÇIKIÞ YAPMAK
$QuitToDesktop	Quit to desktop?	 Masaüstünden çýkýlsýn mý?
$QuitToMainMenu	Save and quit to main menu?	 Kaydedip ana menüden çýkýlsýn mý?
$RAD RESISTANCE	RAD RESISTANCE	 RAD DÝRENCÝ
$Radaway	RADAWAY	 RADAWAY
$Radio	Radio	 Radyo
$RADIO	RADIO	 RADYO
$RadioOff	TURN OFF RADIO	 RADYOYU KAPATIN
$RADIUS	RADIUS	 YARIÇAP
$RADS	RADS	 RADS
$RAISE	RAISE	 ARTIRMAK
$RANDOM	RANDOM	 RASTGELE
$Randomize	Randomize	 Rastgeleleþtir
$RANGE	RANGE	 MENZÝL
$RANGE_LRG	RANGE	 MENZÝL
$Range	Range	 Menzil
$RANK	RANK	 RÜTBE
$Rank {0}	Rank {0}	 {0}. sýra
$Rank {0} Available	Rank {0} Available	 Sýra {0} Mevcut
$Rank:	Rank:	 Rütbe:
$RANK_AVAILABLE	RANK AVAILABLE	 SIRALAMA MEVCUT
$RANK_UP	RANK UP	 RÜTBE
$Rare	Rare	 Nadir
$Rate	Rate	 Oran
$RATE_OF_FIRE	RATE OF FIRE	 ATEÞ HIZI
$RATING	RATING	 DEÐERLENDÝRME
$REACTOR	REACTOR	 REAKTÖR
$Reactor power	Reactor Power	 Reaktör Gücü
$REACTOR POWER	REACTOR POWER	 REAKTÖR GÜCÜ
$READ	READ	 OKUMAK
$ReadyWeapon	Ready/Reload	 Hazýr/Yeniden Yükle
$RECENT	RECENT	 SON
$RECENTER CAMERA	Recenter Camera	 Daha Yakýn Kamera
$RECIPES	RECIPES	 TARÝFLER
$RECLAIM	RECLAIM	 GERÝ AL
$RECORD_LOCATOR	RECORD LOCATOR	 KAYIT BULUCU
$REDO	REDO	 YENÝLE
$REFINE	REFINE	 RAFÝNE
$Refuel	REFUEL	 YAKIT ÝKLÝMÝ
$Refuel Hold	HOLD TO REFUEL	 YAKIT DOLDURMAK ÝÇÝN TUTUN
$Refuel Ship	REFUEL SHIP	 YAKIT GEMÝSÝ
$Refuels	REFUELS	 YAKIT ÝKLÝMLERÝ
$REGISTERED	Registered	 Kayýtlý
$REGISTER_CONFIRM	Register ship for {1} credits?	 {1} kredi karþýlýðýnda gönderim kaydedilsin mi?
$REGISTER_SHIP	REGISTER	 KAYIT OLMAK
$REGISTRATION FORM	REGISTRATION FORM	 KAYIT FORMU
$REJECT	REJECT	 REDDETMEK
$ReloadWeapon	Reload Weapon	 Silahý doldur
$REMAINING PROGRESS	REMAINING PROGRESS	 KALAN ÝLERLEME
$Remap_BindingConflictsWarning	Controls binding conflicts were found. Exit anyway?	 Kontrol baðlayýcý çakýþmalar bulundu. Yine de çýkýlsýn mý?
$Remap_BindingRequiredHint	* Denotes actions that require a binding.	 * Baðlama gerektiren eylemleri belirtir.
$Remap_ButtonNotAllowedForEvent	This key is not allowed for this mapping.	 Bu eþleme için bu anahtara izin verilmiyor.
$Remap_ButtonReservedError	That button is reserved.	 Bu düðme ayrýlmýþtýr.
$Remap_ChordedButtonContextError	Chorded buttons are not allowed for this context.	Bu baðlamda akortlu düðmelere izin verilmez.
$Remap_ChordedButtonDeviceError	Chorded buttons are not allowed for this device.	 Bu cihazda akortlu tuþlara izin verilmiyor.
$Remap_InvalidDeviceError	Remap interrupted by invalid device state or device mismatch.	 Geçersiz cihaz durumu veya cihaz uyumsuzluðu nedeniyle yeniden eþleme kesintiye uðradý.
$Remap_MainBindingOverrideWarning	Button is in use as main binding for another entry. Proceed with remap?	 Düðme baþka bir giriþ için ana ciltleme olarak kullanýlýyor. Yeniden eþlemeye devam edilsin mi?
$Remap_MissingBindingsError	Missing bindings for required actions.	 Gerekli eylemler için baðlamalar eksik.
$Remap_Prompt	Press a button to map to this action.	 Bu eylemi eþleþtirmek için bir düðmeye basýn.
$REMOVE	REMOVE	 KALDIRMAK
$REMOVE LINK	REMOVE LINK	 BAÐLANTIYI KALDIR
$REMOVE PLOT	REMOVE DESTINATION	 HEDEFÝ KALDIR
$REMOVE PLOT ORBIT	REMOVE ORBIT	 Yörüngeyi Kaldýr
$RemoveMarker	Remove Marker	 Ýþaretçiyi Kaldýr
$RemoveMoonDestination	You already have a destination set for this moon.  Would you like to remove it?	 Bu ay için zaten belirlenmiþ bir varýþ noktanýz var. Bunu kaldýrmak ister misiniz?
$RemoveOutpost	Remove Outpost	 Karakolu Kaldýr
$RemovePlanetDestination	You already have a destination set for this planet.  Would you like to remove it?	 Bu gezegen için zaten belirlenmiþ bir varýþ noktanýz var. Bunu kaldýrmak ister misiniz?
$RemoveShipPrompt	Are you sure you want to remove this ship from your ownership?	 Bu gemiyi mülkiyetinizden çýkarmak istediðinizden emin misiniz?
$REMOVE_ALL	REMOVE ALL	 HEPSÝNÝ KALDIR
$REMOVE_ALL_HOLD	HOLD TO REMOVE ALL	 TÜMÜNÜ KALDIRMAK ÝÇÝN BASILI TUTUN
$REMOVE_LAST	REMOVE LAST	 SON KALDIR
$RENAME	RENAME	 YENÝDEN ÝSÝMLENDÝRMEK
$RENAME SHIP	RENAME SHIP	 GEMÝYÝ YENÝDEN ADLANDIRIN
$Repair	Repair	 Tamirat
$REPAIR	REPAIR	 TAMÝRAT
$REPAIR HULL	REPAIR HULL	 GÖVDE ONARIM
$REPAIR MODULES	REPAIR MODULES	 ONARIM MODÜLLERÝ
